Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BIIB,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DD,DHR,DIS,DOW,DUK,EMR,EXC,F,FB,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
2021-01-04,128.997802734375,100.58539581298828,107.44915008544922,253.32872009277344,485.3399963378906,36.44230270385742,223.41619873046875,216.41688537597656,3186.6298828125,418.6448974609375,116.6797866821289,202.72000122070312,29.6046142578125,242.9499969482422,40.59257888793945,2164.080078125,700.2908935546875,59.9696159362793,58.35795974731445,178.42269897460938,647.030029296875,82.4463882446289,49.8364372253418,96.90048217773438,38.38134002685547,377.88153076171875,220.30999755859375,43.34489059448242,68.25929260253906,81.42143249511719,69.4842529296875,222.6881103515625,177.67999267578125,52.341827392578125,87.13114929199219,76.75382995605469,40.41127014160156,8.520000457763672,268.94000244140625,251.19837951660156,142.1913604736328,83.67925262451172,58.81993103027344,40.5099983215332,1728.239990234375,1726.1300048828125,261.80255126953125,205.33982849121094,114.12940979003906,49.06810760498047,153.65277099609375,122.78654479980469,33.57667922973633,51.54414749145508,255.93081665039062,163.5585174560547,337.2824401855469,158.11497497558594,349.7742614746094,206.65391540527344,57.32960891723633,114.29882049560547,44.62873458862305,167.9380645751953,38.74184799194336,75.25204467773438,66.73786163330078,216.68942260742188,73.10986328125,522.8599853515625,139.3043212890625,131.05972290039062,62.78260040283203,142.08908081054688,35.42396545410156,134.43896484375,78.48661804199219,231.9199981689453,147.04530334472656,67.20109558105469,102.2560806274414,57.56636047363281,80.10838317871094,26.87285614013672,175.82254028320312,471.06494140625,132.42999267578125,729.77001953125,159.46778869628906,345.77813720703125,200.1396484375,161.14195251464844,45.091583251953125,216.81153869628906,56.29931640625,40.658897399902344,29.300708770751953,144.8170166015625,39.621368408203125
2021-01-05,130.5926971435547,101.62550354003906,108.77859497070312,254.77090454101562,485.69000244140625,37.05082321166992,224.5004425048828,217.5107879638672,3218.510009765625,421.4803466796875,117.30252075195312,211.6300048828125,29.83135414123535,246.38999938964844,41.050209045410156,2188.070068359375,703.9952392578125,60.13570785522461,59.87173843383789,179.88221740722656,636.5900268554688,82.63213348388672,49.539085388183594,99.17839813232422,40.583152770996094,373.4978332519531,221.52000427246094,43.36460876464844,68.7176742553711,83.62252807617188,72.90313720703125,228.2146759033203,178.44000244140625,54.04651641845703,87.16999816894531,78.08209228515625,40.35238265991211,8.649999618530273,270.9700012207031,251.18844604492188,142.2595672607422,86.07694244384766,58.7122917175293,41.65999984741211,1740.9200439453125,1740.050048828125,267.6609802246094,205.84344482421875,116.15525817871094,49.99672317504883,155.45928955078125,123.45466613769531,32.92927169799805,50.97751998901367,259.9456787109375,164.368896484375,341.3438415527344,158.64735412597656,345.7240905761719,207.89254760742188,57.38899612426758,115.21501922607422,45.18077850341797,167.65469360351562,38.66595458984375,75.38217163085938,67.87083435058594,216.8984375,73.65164184570312,520.7999877929688,140.4279022216797,133.97055053710938,62.00458526611328,142.5125732421875,35.78965377807617,135.29737854003906,79.34371185302734,234.91000366210938,150.93678283691406,68.1733169555664,102.59329986572266,57.944576263427734,80.4566421508789,26.708553314208984,178.53465270996094,476.95550537109375,131.85000610351562,735.1099853515625,160.63758850097656,341.128173828125,202.59445190429688,158.89894104003906,45.23823547363281,213.57568359375,56.041015625,40.42319107055664,30.119548797607422,144.046142578125,41.53083419799805
2021-01-06,126.19674682617188,100.74761199951172,108.55209350585938,257.5564270019531,466.30999755859375,39.46525955200195,229.91188049316406,211.775146484375,3138.3798828125,418.88116455078125,121.64192962646484,211.02999877929688,31.694583892822266,247.75,43.8251838684082,2249.81005859375,724.0733642578125,60.282264709472656,63.31654739379883,189.89308166503906,624.510009765625,80.412841796875,50.11396789550781,106.348876953125,42.20298767089844,367.8119812011719,216.14999389648438,43.77873611450195,70.7657470703125,86.31383514404297,76.8259506225586,235.77626037597656,179.1199951171875,56.5938720703125,88.29666137695312,80.7091064453125,41.667686462402344,8.84000015258789,263.30999755859375,251.5654754638672,145.89376831054688,90.79238891601562,60.62044143676758,42.97999954223633,1735.2900390625,1722.8800048828125,282.10455322265625,209.59571838378906,119.05591583251953,50.480777740478516,156.9221954345703,129.2515869140625,33.29220962524414,49.355777740478516,268.4796447753906,162.39236450195312,340.60003662109375,160.7670135498047,345.85345458984375,207.42066955566406,57.28011703491211,117.09668731689453,47.87322235107422,170.20498657226562,39.292049407958984,76.57192993164062,71.96320343017578,211.2744140625,77.25688934326172,500.489990234375,141.5415496826172,126.07257843017578,61.856300354003906,140.7693328857422,35.4817008972168,136.7215576171875,79.44964599609375,226.8300018310547,149.70895385742188,69.01787567138672,103.337158203125,59.3604621887207,82.2946548461914,27.228849411010742,186.99765014648438,484.43353271484375,131.52999877929688,755.97998046875,161.43385314941406,355.4441223144531,206.83364868164062,158.42672729492188,47.917137145996094,211.6939239501953,56.72024917602539,42.25971603393555,32.25050735473633,144.9455108642578,42.59058380126953
2021-01-07,130.50299072265625,101.82588958740234,109.6058120727539,259.9864501953125,477.739990234375,40.13266372680664,230.67086791992188,214.34732055664062,3162.159912109375,436.5339660644531,120.67975616455078,212.7100067138672,32.394527435302734,250.44000244140625,44.088077545166016,2239.85009765625,739.3043212890625,60.92709732055664,64.06372833251953,190.25550842285156,629.77001953125,79.972900390625,50.21308135986328,109.66670989990234,43.35724639892578,365.72454833984375,217.97999572753906,44.330894470214844,72.16038513183594,86.717529296875,79.91874694824219,239.1280975341797,178.5800018310547,56.671356201171875,87.30596923828125,80.74845886230469,41.25542449951172,9.0600004196167,268.739990234375,244.09471130371094,147.8229217529297,90.07308959960938,61.17820739746094,43.31999969482422,1787.25,1774.3399658203125,288.1309814453125,209.9413604736328,118.77967071533203,51.55757141113281,157.4523468017578,133.49609375,33.0518913269043,48.80867385864258,267.70831298828125,163.88465881347656,335.2370300292969,161.39794921875,348.593505859375,208.38406372070312,57.17123794555664,116.9390640258789,48.01850128173828,165.8372344970703,39.6335563659668,78.09629821777344,73.19385528564453,217.28665161132812,78.10403442382812,508.8900146484375,144.12677001953125,133.36338806152344,62.3505973815918,140.31629943847656,35.664546966552734,135.44371032714844,79.91191101074219,235.0399932861328,154.1747589111328,68.52685546875,102.50403594970703,59.292572021484375,82.35269165039062,27.3018741607666,189.15548706054688,499.529296875,133.19000244140625,816.0399780273438,165.09075927734375,361.14276123046875,209.7123565673828,156.41981506347656,48.87528991699219,212.8787384033203,56.592613220214844,44.44979476928711,32.980560302734375,144.9356231689453,42.924739837646484
2021-01-08,131.62937927246094,102.3602523803711,109.91108703613281,260.93475341796875,485.1000061035156,39.8676643371582,235.07688903808594,218.97918701171875,3182.699951171875,438.7491455078125,120.79878234863281,209.89999389648438,32.06919860839844,252.5399932861328,43.62071228027344,2281.5400390625,745.2449951171875,61.054115295410156,63.432987213134766,190.28488159179688,634.3800048828125,80.51061248779297,51.085323333740234,109.49832916259766,43.35724639892578,367.73248291015625,222.0399932861328,44.42949676513672,73.00888061523438,87.54414367675781,80.81793212890625,242.89894104003906,178.69000244140625,56.38078689575195,87.46137237548828,80.50247955322266,41.43210983276367,9.0,267.57000732421875,243.0331268310547,146.89730834960938,90.63255310058594,61.68704605102539,43.060001373291016,1807.2099609375,1797.8299560546875,286.5799255371094,207.3937225341797,118.3560791015625,51.02412033081055,157.12835693359375,133.64349365234375,32.97832107543945,49.902870178222656,267.3918762207031,164.4578399658203,328.9247131347656,162.71902465820312,352.569091796875,212.20806884765625,57.59685516357422,117.93407440185547,47.853851318359375,162.8081512451172,39.45331954956055,77.17609405517578,73.49662780761719,218.6105499267578,79.91651153564453,510.3999938964844,145.51882934570312,132.6912841796875,62.65705871582031,142.00042724609375,35.731910705566406,135.38516235351562,80.01782989501953,242.4600067138672,155.10556030273438,68.60541534423828,104.80504608154297,59.70957946777344,83.66832733154297,26.95816421508789,191.6300506591797,511.4801330566406,135.05999755859375,880.02001953125,168.25611877441406,359.520263671875,215.7261199951172,155.81971740722656,48.22022247314453,214.5115966796875,55.886775970458984,44.400691986083984,32.7437858581543,144.9158477783203,43.402103424072266
2021-01-11,128.5691680908203,104.03015899658203,109.1528091430664,257.1712341308594,474.239990234375,39.533958435058594,234.17005920410156,211.80470275878906,3114.2099609375,438.8673095703125,120.08457946777344,206.7899932861328,32.6015510559082,267.5199890136719,44.36071014404297,2221.27001953125,755.323486328125,63.47712707519531,64.47128295898438,189.89308166503906,641.1300048828125,80.3052978515625,51.06549835205078,108.26033782958984,43.99741744995117,361.83782958984375,218.25,44.725303649902344,74.18895721435547,88.04396057128906,82.9819107055664,243.52740478515625,179.08999633789062,57.01036071777344,86.72322082519531,81.28960418701172,41.088558197021484,9.300000190734863,256.8399963378906,243.38037109375,147.88134765625,91.5116958618164,61.16842269897461,45.0099983215332,1766.719970703125,1756.2900390625,290.28466796875,205.74468994140625,118.4021224975586,50.91545104980469,156.47056579589844,135.6380157470703,32.22301483154297,49.043148040771484,264.5538330078125,183.75872802734375,330.47100830078125,163.97109985351562,346.9395446777344,210.59588623046875,56.5080680847168,116.74202728271484,47.84416961669922,161.420654296875,39.22564697265625,79.0072021484375,74.28775024414062,216.49034118652344,78.49805450439453,499.1000061035156,146.21482849121094,136.1367950439453,62.31105041503906,139.94203186035156,36.34781265258789,134.46824645996094,79.26667022705078,237.5,154.5807647705078,68.54649353027344,103.7437973022461,59.3604621887207,80.42761993408203,26.818819046020508,193.29295349121094,512.5284423828125,132.92999267578125,811.1900024414062,168.40357971191406,356.9083557128906,214.27691650390625,159.23342895507812,48.23978042602539,211.96275329589844,55.55802917480469,46.84611892700195,32.79311752319336,145.56813049316406,44.719635009765625
2021-01-12,128.38973999023438,104.75537109375,107.1832504272461,255.24505615234375,471.6499938964844,40.24062728881836,233.20408630371094,211.79486083984375,3120.830078125,442.4411926269531,120.64006805419922,208.41000366210938,33.18319320678711,267.3900146484375,45.33438491821289,2196.340087890625,766.2196655273438,63.926551818847656,64.69447326660156,193.49777221679688,621.489990234375,80.42261505126953,49.568817138671875,109.69641876220703,45.99553298950195,362.0267333984375,215.52000427246094,45.14928436279297,74.37425231933594,89.71640014648438,85.3336181640625,240.10572814941406,175.99000549316406,59.121856689453125,86.37357330322266,82.61785888671875,41.30450439453125,9.779999732971191,251.08999633789062,247.08102416992188,149.55718994140625,94.1491470336914,60.747650146484375,47.81999969482422,1746.550048828125,1737.4300537109375,298.5635681152344,206.25816345214844,118.98225402832031,52.5948486328125,155.25311279296875,137.7700958251953,31.565805435180664,48.955223083496094,263.6539306640625,176.7025146484375,334.55194091796875,166.60337829589844,341.67864990234375,208.01051330566406,56.73572540283203,115.54998016357422,48.61897277832031,162.70066833496094,38.82722473144531,77.23186492919922,74.0338134765625,213.9420928955078,78.55715942382812,494.25,144.2261962890625,134.7700958251953,61.708011627197266,139.29200744628906,35.780029296875,133.6878662109375,78.07251739501953,237.63999938964844,152.93701171875,70.23560333251953,101.9783706665039,57.04267883300781,82.64290618896484,26.70734405517578,197.07408142089844,497.9717712402344,128.69000244140625,849.4400024414062,169.3767852783203,353.5643615722656,215.54864501953125,161.25015258789062,48.54287338256836,207.9503173828125,55.36465072631836,47.101463317871094,33.48370361328125,147.228515625,45.71255874633789
2021-01-13,130.47308349609375,107.30316925048828,110.44286346435547,254.80889892578125,472.04998779296875,39.965816497802734,234.33763122558594,213.3223876953125,3165.889892578125,444.2330322265625,121.41378784179688,207.2100067138672,32.986026763916016,266.6700134277344,45.10070037841797,2182.419921875,768.1998901367188,63.24264144897461,64.87883758544922,191.8815460205078,618.010009765625,80.64747619628906,49.71749496459961,111.00374603271484,45.617244720458984,364.76031494140625,218.17999267578125,44.725303649902344,73.06739044189453,89.62989807128906,82.49773406982422,239.25779724121094,176.1199951171875,58.14359664916992,88.92796325683594,81.30928039550781,42.011234283447266,9.779999732971191,251.63999938964844,250.23602294921875,148.70953369140625,92.47077178955078,60.219242095947266,48.72999954223633,1754.4000244140625,1747.25,299.2847595214844,204.4215087890625,116.87351989746094,56.25989532470703,155.01747131347656,137.89784240722656,31.3990478515625,49.00407028198242,264.7516174316406,183.3238983154297,338.1142578125,167.43153381347656,345.0762939453125,208.49220275878906,56.785213470458984,116.9587631225586,48.744876861572266,162.4759521484375,38.97900390625,76.53475189208984,73.79939270019531,215.3456268310547,80.61589050292969,507.7900085449219,142.2276153564453,135.2398223876953,61.35211944580078,140.43447875976562,35.472076416015625,133.8927001953125,78.20734405517578,244.89999389648438,155.87791442871094,69.23391723632812,102.04779815673828,57.90578079223633,85.97068786621094,26.577293395996094,194.81727600097656,500.9070739746094,128.5,854.4099731445312,168.5018768310547,351.2591857910156,213.54736328125,160.463134765625,48.40598678588867,208.43817138671875,55.171268463134766,48.06391906738281,33.34558868408203,145.7262725830078,46.228111267089844
2021-01-14,128.49940490722656,107.76656341552734,108.80154418945312,252.74729919433594,463.2699890136719,40.535072326660156,238.20152282714844,211.8737030029297,3127.469970703125,445.0797424316406,122.78266143798828,209.91000366210938,33.50851821899414,280.2900085449219,45.305171966552734,2182.590087890625,732.48681640625,64.50299072265625,66.96513366699219,193.36062622070312,623.0900268554688,80.10977172851562,49.14261245727539,113.30146789550781,46.43201446533203,360.187744140625,215.60000610351562,44.51824188232422,73.19418334960938,91.78294372558594,81.62818908691406,236.12539672851562,173.42999267578125,57.775535583496094,89.02510070800781,81.99800109863281,41.795291900634766,10.170000076293945,245.63999938964844,254.254150390625,151.2218780517578,93.19007873535156,61.06078338623047,51.529998779296875,1740.1800537109375,1730.9200439453125,304.1552734375,205.99154663085938,118.7612533569336,58.532020568847656,157.72726440429688,138.70350646972656,31.467714309692383,48.09550094604492,260.75653076171875,184.49993896484375,340.0226135253906,167.98361206054688,325.74652099609375,204.9630889892578,56.725830078125,116.02286529541016,49.945823669433594,162.6029815673828,38.99797439575195,76.3767318725586,74.68818664550781,212.04087829589844,81.29557037353516,500.8599853515625,140.49749755859375,131.92672729492188,60.89736557006836,139.6170196533203,35.36621856689453,132.46852111816406,78.17845153808594,242.05999755859375,159.27432250976562,69.666015625,100.98655700683594,57.25603103637695,91.85232543945312,27.2089786529541,195.9951629638672,496.11480712890625,124.69000244140625,845.0,168.7967987060547,346.79718017578125,213.10372924804688,160.8173065185547,48.18111801147461,200.9807891845703,55.15193176269531,48.43711853027344,34.28281784057617,145.2518768310547,48.03255081176758
2021-01-15,126.73502349853516,106.6949691772461,110.04737091064453,251.4092254638672,458.0799865722656,40.584144592285156,241.97671508789062,216.70266723632812,3104.25,438.9559020996094,121.1657943725586,204.32000732421875,32.542396545410156,275.8399963378906,44.37044143676758,2119.22998046875,716.97998046875,65.01104736328125,62.3267707824707,190.6375274658203,628.9099731445312,80.05110168457031,48.260459899902344,111.44942474365234,43.764625549316406,359.9988708496094,213.13999938964844,44.79431915283203,74.37425231933594,88.51493072509766,81.36139678955078,236.17529296875,171.44000244140625,55.50906753540039,89.46215057373047,81.41751098632812,42.560916900634766,9.829999923706055,251.36000061035156,250.57334899902344,150.31900024414062,90.55262756347656,61.970821380615234,49.970001220703125,1736.18994140625,1727.6199951171875,297.3780822753906,203.3846893310547,118.22716522216797,56.882259368896484,157.38365173339844,136.21771240234375,31.37942886352539,47.57771682739258,255.21884155273438,188.53207397460938,339.85626220703125,168.92018127441406,322.08984375,206.3491668701172,56.63674545288086,115.07710266113281,49.52936935424805,161.76263427734375,39.08335494995117,77.50142669677734,73.48685455322266,211.67257690429688,80.81290435791016,497.9800109863281,139.92079162597656,128.52117919921875,61.07530975341797,139.2526092529297,35.31809997558594,131.4735565185547,77.94732666015625,239.7899932861328,155.5511474609375,67.95726013183594,101.49237823486328,57.857295989990234,89.96593475341797,27.097503662109375,192.8178253173828,502.3348388671875,127.27999877929688,826.1599731445312,166.31954956054688,347.5589904785156,213.5375213623047,156.32144165039062,47.32073974609375,200.7119598388672,55.48067855834961,48.04427719116211,31.609249114990234,142.94912719726562,45.722103118896484
